MA,bedrooms,normalized_price,date_sold,price,Regime,hidden_state
548969.0,4,4078,2007-02-07,525000,2,2
421291.0,3,449,2007-02-27,290000,0,0
421291.0,3,1227,2007-03-07,328000,0,0
548969.0,4,441,2007-03-09,380000,2,2
421291.0,3,797,2007-03-21,310000,0,0
548969.0,4,2154,2007-04-04,465000,2,2
421291.0,3,4038,2007-04-24,399000,0,0
548969.0,4,11676,2007-04-30,1530000,2,2
421291.0,3,2341,2007-05-24,359000,0,0
421291.0,3,1019,2007-05-25,320000,0,0
421291.0,3,3436,2007-06-26,385000,0,0
421291.0,3,697,2007-06-27,305000,0,0
548969.0,4,9896,2007-06-27,850000,2,2
548969.0,4,9104,2007-06-28,765000,2,2
548969.0,4,3816,2007-06-30,517000,2,2
735904.0,5,6757,2007-07-02,800000,4,4
421291.0,3,1486,2007-07-03,336000,0,0
735904.0,5,900,2007-07-06,535000,4,4
548969.0,4,10240,2007-07-07,900000,2,2
421291.0,3,5223,2007-07-12,427500,0,0
421291.0,3,10847,2007-07-13,780000,0,0
421291.0,3,8195,2007-07-18,530000,0,0
421291.0,3,9212,2007-07-18,590000,0,0
421291.0,3,8088,2007-07-20,525000,0,0
548969.0,4,4843,2007-07-20,549000,2,2
548969.0,4,11770,2007-07-21,1780000,2,2
421291.0,3,5948,2007-07-30,446000,0,0
548969.0,4,5125,2007-07-30,558000,2,2
421291.0,3,7682,2007-07-31,506000,0,0
548969.0,4,3905,2007-07-31,520000,2,2
421291.0,3,3348,2007-08-03,383000,0,0
421291.0,3,7983,2007-08-03,520000,0,0
735904.0,5,7017,2007-08-07,815000,4,4
421291.0,3,8491,2007-08-10,545500,0,0
421291.0,3,10724,2007-08-10,760000,0,0
421291.0,3,7983,2007-08-11,520000,0,0
421291.0,3,9761,2007-08-11,636000,0,0
548969.0,4,6925,2007-08-14,625000,2,2
548969.0,4,9362,2007-08-16,790000,2,2
421291.0,3,1019,2007-08-21,320000,0,0
735904.0,5,137,2007-08-21,418000,4,4
548969.0,4,1858,2007-08-21,455000,2,2
548969.0,4,5184,2007-08-23,560000,2,2
548969.0,4,5928,2007-08-24,585000,2,2
441854.0,2,3846,2007-08-28,325000,1,1
548969.0,4,1017,2007-08-28,420000,2,2
421291.0,3,9330,2007-08-29,599000,0,0
441854.0,2,3328,2007-08-30,315000,1,1
421291.0,3,2676,2007-08-30,367000,0,0
421291.0,3,1919,2007-08-31,348000,0,0
548969.0,4,4322,2007-08-31,532500,2,2
421291.0,3,6595,2007-09-03,465000,0,0
548969.0,4,9642,2007-09-04,820000,2,2
421291.0,3,9212,2007-09-06,590000,0,0
548969.0,4,5148,2007-09-11,559000,2,2
548969.0,4,1617,2007-09-15,446000,2,2
421291.0,3,6739,2007-09-18,470000,0,0
548969.0,4,644,2007-09-20,396500,2,2
421291.0,3,7004,2007-09-20,479000,0,0
735904.0,5,11160,2007-09-21,1460000,4,4
548969.0,4,3254,2007-09-22,500000,2,2
548969.0,4,3459,2007-09-22,506000,2,2
548969.0,4,3905,2007-09-22,520000,2,2
548969.0,4,10364,2007-09-24,920000,2,2
548969.0,4,3489,2007-09-27,507000,2,2
421291.0,3,6888,2007-10-02,475000,0,0
421291.0,3,3939,2007-10-09,397000,0,0
421291.0,3,8685,2007-10-10,556000,0,0
548969.0,4,1633,2007-10-12,447000,2,2
548969.0,4,8541,2007-10-12,720000,2,2
421291.0,3,2722,2007-10-16,368000,0,0
421291.0,3,3436,2007-10-16,385000,0,0
735904.0,5,1269,2007-10-17,560000,4,4
548969.0,4,1858,2007-10-19,455000,2,2
548969.0,4,2623,2007-10-19,480000,2,2
421291.0,3,615,2007-10-24,300500,0,0
421291.0,3,7660,2007-10-24,505000,0,0
548969.0,4,6054,2007-10-25,590000,2,2
735904.0,5,3199,2007-10-25,645000,4,4
548969.0,4,9158,2007-10-25,770000,2,2
735904.0,5,9889,2007-10-26,1100000,4,4
421291.0,3,2602,2007-11-02,365000,0,0
548969.0,4,6639,2007-11-02,612500,2,2
548969.0,4,2379,2007-11-05,472500,2,2
735904.0,5,2112,2007-11-05,600000,4,4
421291.0,3,2902,2007-11-07,372500,0,0
421291.0,3,3862,2007-11-08,395000,0,0
441854.0,2,9386,2007-11-08,497000,1,1
548969.0,4,6189,2007-11-08,595000,2,2
441854.0,2,8831,2007-11-12,465000,1,1
548969.0,4,3420,2007-11-12,505000,2,2
421291.0,3,3180,2007-11-16,379000,0,0
421291.0,3,7660,2007-11-16,505000,0,0
421291.0,3,3223,2007-11-17,380000,0,0
548969.0,4,7518,2007-11-17,655000,2,2
421291.0,3,10724,2007-11-17,760000,0,0
421291.0,3,10726,2007-11-17,760500,0,0
548969.0,4,1519,2007-11-20,442500,2,2
548969.0,4,5184,2007-11-22,560000,2,2
548969.0,4,5184,2007-11-23,560000,2,2
421291.0,3,1447,2007-11-24,335000,0,0
421291.0,3,8987,2007-11-24,575000,0,0
421291.0,3,5681,2007-11-27,439000,0,0
421291.0,3,2116,2007-11-29,353000,0,0
421291.0,3,5125,2007-11-30,425000,0,0
421291.0,3,11058,2007-11-30,825000,0,0
735904.0,5,8516,2007-12-01,930000,4,4
421291.0,3,2602,2007-12-03,365000,0,0
421291.0,3,3528,2007-12-03,387000,0,0
548969.0,4,6806,2007-12-04,620000,2,2
421291.0,3,11058,2007-12-05,825000,0,0
421291.0,3,1447,2007-12-06,335000,0,0
421291.0,3,2002,2007-12-07,350000,0,0
421291.0,3,4964,2007-12-08,421000,0,0
548969.0,4,4712,2007-12-08,545000,2,2
548969.0,4,7129,2007-12-12,635000,2,2
421291.0,3,2275,2007-12-13,357500,0,0
548969.0,4,691,2007-12-13,400000,2,2
548969.0,4,11114,2007-12-13,1105000,2,2
441854.0,2,897,2007-12-14,259000,1,1
421291.0,3,5626,2007-12-14,437500,0,0
548969.0,4,4243,2007-12-15,530000,2,2
421291.0,3,9701,2007-12-19,630000,0,0
548969.0,4,6691,2007-12-20,615000,2,2
421291.0,3,1350,2007-12-21,332000,0,0
421291.0,3,7306,2007-12-21,490000,0,0
441854.0,2,3013,2008-01-02,309000,1,1
416031.0,3,5888,2008-01-14,413000,0,0
552484.0,4,2830,2008-01-15,445000,2,2
552484.0,4,7541,2008-01-15,600000,2,2
441854.0,2,7707,2008-01-17,417500,1,1
552484.0,4,3460,2008-01-17,462500,2,2
552484.0,4,4260,2008-01-17,485000,2,2
552484.0,4,7122,2008-01-18,580000,2,2
552484.0,4,6643,2008-01-24,560000,2,2
552484.0,4,7010,2008-01-24,575000,2,2
552484.0,4,11175,2008-01-24,1035000,2,2
416031.0,3,8028,2008-01-30,485000,0,0
552484.0,4,7525,2008-02-01,599000,2,2
416031.0,3,3024,2008-02-04,349000,0,0
416031.0,3,3544,2008-02-07,360000,0,0
416031.0,3,4233,2008-02-07,375000,0,0
416031.0,3,5563,2008-02-07,405000,0,0
416031.0,3,5125,2008-02-08,395000,0,0
416031.0,3,6037,2008-02-09,417000,0,0
416031.0,3,9373,2008-02-09,560000,0,0
552484.0,4,8429,2008-02-09,650000,2,2
552484.0,4,1863,2008-02-11,416000,2,2
552484.0,4,9639,2008-02-12,749000,2,2
552484.0,4,7010,2008-02-15,575000,2,2
416031.0,3,10137,2008-02-15,625000,0,0
735904.0,5,4113,2008-02-16,610000,4,4
552484.0,4,2830,2008-02-19,445000,2,2
735904.0,5,5329,2008-02-21,655000,4,4
552484.0,4,4780,2008-02-23,500000,2,2
441854.0,2,9652,2008-02-23,515000,1,1
735904.0,5,8250,2008-02-23,811000,4,4
552484.0,4,7352,2008-02-27,590000,2,2
